Time,Yaw_Angle
1773652976.2857068,90.1
1773652976.3867395,90.1
1773652976.4853156,90.1
1773652976.5859358,90.1
1773652976.6856658,90.1
1773652976.7854874,90.1
1773652976.8854947,90.1
1773652976.9853282,90.1
1773652977.0856817,90.1
1773652977.1854353,90.1
1773652977.2853003,90.1
1773652977.3859901,90.1
1773652977.4851606,90.1
1773652977.586639,90.1
1773652977.68566,90.1
1773652977.7852857,90.1
1773652977.8854113,90.1
1773652977.9854414,90.1
1773652978.085808,90.1
1773652978.1854606,90.1
1773652978.285536,90.1
1773652978.3855934,90.1
1773652978.4851437,90.1
1773652978.5857284,90.1
1773652978.6855218,90.1
1773652978.7853174,90.1
1773652978.8862016,90.1
1773652978.9852083,90.1
1773652979.0854347,90.1
1773652979.1853518,90.1
1773652979.2852623,90.1
1773652979.3858573,90.1
1773652979.485216,90.1
1773652979.5852995,90.1
1773652979.685156,90.1
1773652979.7852173,90.1
1773652979.8857417,90.1
1773652979.9856584,90.1
1773652980.0851758,90.1
1773652980.1854768,90.1
1773652980.285617,90.1
1773652980.3860705,90.1
1773652980.4852216,90.1
1773652980.58547,90.1
1773652980.6854892,90.1
1773652980.785889,90.1
1773652980.8855634,90.1
1773652980.9857304,90.1
1773652981.085193,90.1
1773652981.1856124,90.1
1773652981.2857177,90.1
1773652981.38596,90.1
1773652981.4851656,90.1
1773652981.5854826,90.1
1773652981.6855965,90.1
1773652981.785357,90.1
1773652981.8851562,90.1
1773652981.9855509,90.1
1773652982.0855398,90.1
1773652982.1851943,90.1
1773652982.2857409,90.1
1773652982.385372,90.1
1773652982.4854064,90.1
1773652982.5854092,90.1
1773652982.6852188,90.1
1773652982.786221,90.1
1773652982.885681,90.1
1773652982.985386,90.1
1773652983.0855165,90.1
1773652983.18535,90.1
1773652983.2853904,90.1
1773652983.3854668,90.1
1773652983.4851704,90.1
1773652983.585368,90.1
1773652983.685266,90.1
1773652983.7856746,90.1
1773652983.885682,90.1
1773652983.9853024,90.1
1773652984.0855854,90.1
1773652984.1852765,90.1
1773652984.2858882,90.1
1773652984.3860748,90.1
1773652984.485476,90.1
1773652984.5852687,90.1
1773652984.6853373,90.1
1773652984.7856505,90.1
1773652984.885862,90.1
1773652984.9855082,90.1
1773652985.0855546,90.1
1773652985.185262,90.1
1773652985.285307,90.1
1773652985.3860772,90.1
1773652985.4857378,90.1
1773652985.5853488,90.1
1773652985.6854932,90.1
1773652985.785713,90.1
1773652985.8858516,90.1
1773652985.9853723,90.1
1773652986.0856404,90.1
1773652986.1852372,90.1
1773652986.2853363,90.1
1773652986.3852947,90.1
1773652986.4854608,90.1
1773652986.5852103,90.1
1773652986.6851277,90.1
1773652986.7854304,90.1
1773652986.885661,90.1
1773652986.9855363,90.1
1773652987.0852797,90.1
1773652987.1851795,90.1
1773652987.2852824,90.1
1773652987.385462,90.1
1773652987.4856553,90.1
1773652987.585496,90.1
1773652987.6854067,90.1
1773652987.7852616,90.1
1773652987.8852541,90.1
1773652987.9855049,90.1
1773652988.0853765,90.1
1773652988.1853347,90.1
1773652988.2851667,90.1
1773652988.3857715,90.1
1773652988.4856765,90.1
1773652988.5854347,90.1
1773652988.6855047,90.1
1773652988.785423,90.1
1773652988.8857806,90.1
1773652988.985593,90.1
1773652989.085233,90.1
1773652989.1855268,90.1
1773652989.2851596,90.1
1773652989.38523,90.1
1773652989.4853578,90.1
1773652989.5851946,90.1
1773652989.685334,90.1
1773652989.7856014,90.1
1773652989.8854177,90.1
1773652989.9854796,90.1
1773652990.0852025,90.1
1773652990.1851635,90.1
1773652990.2851794,90.1
1773652990.385296,90.1
1773652990.4852486,90.1
1773652990.5853891,90.1
1773652990.6851323,90.1
1773652990.7857118,90.1
1773652990.8853972,90.1
1773652990.9855447,90.1
1773652991.0851686,90.1
1773652991.1854687,90.1
1773652991.2856324,90.1
1773652991.3851876,90.1
1773652991.4854968,90.1
1773652991.5852916,90.1
1773652991.6850789,90.1
1773652991.7854497,90.1
1773652991.8853528,90.1
1773652991.985528,90.1
1773652992.085204,90.1
1773652992.1856928,90.1
1773652992.285618,90.1
1773652992.385435,90.1
1773652992.4853997,90.1
1773652992.5856462,90.1
1773652992.6851542,90.1
1773652992.7856925,90.1
1773652992.8852224,90.1
1773652992.9855373,90.1
1773652993.0853114,90.1
1773652993.1858087,90.1
1773652993.2858715,90.1
1773652993.3851678,90.1
1773652993.4853141,90.1
1773652993.5854182,90.1
1773652993.6853309,90.1
1773652993.7851882,90.1
1773652993.8854737,90.1
1773652993.9854798,90.1
1773652994.0851882,90.1
1773652994.1854556,90.1
1773652994.2855325,90.1
1773652994.3853376,90.1
1773652994.485156,90.1
1773652994.585508,90.1
1773652994.6858325,90.1
1773652994.7853103,90.1
1773652994.8858135,90.1
1773652994.9851863,90.1
1773652995.0854568,90.1
